word,sentenceId,sentence,decision,categories,rationale,reviewType,seed,semanticDecisionSource,defaultLearningAppropriateness,targetTeachingValue,contextVocabularyLoad,syntaxSimplicity,standaloneClarity,topicNeutrality,naturalModernEnglish,finalEditorDecision,severeInappropriate
endurance,12765387,The space journey tested their skills and endurance.,pass,,A space journey testing endurance is a clear challenge context with familiar vocabulary.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
crash,10054503,Can I crash at your pad for a bit?,reject,context-too-hard; other,"Crash at your pad is informal slang, and pad makes the target crash depend on cultural knowledge outside the basic verb meaning.",phase-a-post-curation-review,216485891,sentence-read,NO,PASS,FAIL,PASS,PASS,PASS,PASS,FAIL,false
glance,11059017,"At first glance, the videos conjure up visions of a secluded utopian paradise.",reject,context-too-hard; weak-teaching-value,"Conjure, secluded, and utopian create unusually difficult descriptive vocabulary around the simple target glance.",phase-a-post-curation-review,216485891,sentence-read,NO,FAIL,FAIL,PASS,PASS,PASS,PASS,FAIL,false
reference,9140815,Wikipedia is a reference work powered by an endless argument.,pass,,A reference work powered by discussion gives reference a clear information-source meaning despite the light metaphor.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
insane,11845580,Capitalism gives an insane amount of power to people who did not earn it.,reject,political-heavy; public-controversy,Capitalism and unearned power make insane part of an ideological economic attack rather than a neutral context.,phase-a-post-curation-review,216485891,sentence-read,NO,PASS,PASS,PASS,PASS,FAIL,PASS,FAIL,false
identification,10722159,"It is advisable to bring some photographic identification, such as a valid passport.",pass,,Photographic identification and a passport give identification a concrete travel-document meaning.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
hurricane,11700301,My stream of consciousness is more like a hurricane.,pass,,A stream of consciousness compared with a hurricane provides a vivid but understandable figurative use.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
inherent,5251250,The inherent difficulty of quantifying prosperity complicates the question of which countries are most prosperous.,reject,context-too-hard,Quantifying prosperity and comparing countries creates academic economic vocabulary that is harder than inherent.,phase-a-post-curation-review,216485891,sentence-read,NO,PASS,FAIL,PASS,PASS,PASS,PASS,FAIL,false
consequent,9952838,Affirming the consequent is an example of a formal logical fallacy.,reject,specialist-background; context-too-hard,Affirming the consequent and formal logical fallacy are technical logic terms that overwhelm consequent.,phase-a-post-curation-review,216485891,sentence-read,NO,PASS,FAIL,PASS,PASS,PASS,PASS,FAIL,false
erosion,10841928,Tidal waves and coastal erosion have submerged an entire fishing community on Ghana's eastern coast.,pass,,Coastal erosion submerging a fishing community gives erosion a clear environmental process meaning.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
vein,6121979,Mary was treated for deep vein thrombosis when she was pregnant with her second child.,reject,medical-heavy; context-too-hard,Deep vein thrombosis and pregnancy make vein depend on specialist medical background rather than a default context.,phase-a-post-curation-review,216485891,sentence-read,NO,PASS,FAIL,PASS,PASS,FAIL,PASS,FAIL,false
disease,12764876,The disease spread quickly through the town.,pass,,"Disease spreading through a town is a direct, understandable example of disease.",phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
minimum,11930712,Do you really expect me to do the work of five people for minimum wage?,pass,,Minimum wage gives minimum a familiar lower-limit meaning in a workplace context.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
mutual,12759817,Tom thinks that open communication is key to mutual learning.,pass,,Open communication supporting mutual learning gives mutual a clear shared relationship meaning.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
revolutionary,13025353,"Thanks to revolutionary advancements in technology, your favorite search engine now has the ability to make things up.",reject,public-controversy; context-too-hard,A search engine making things up turns revolutionary into a current technology controversy and adds unnecessary background.,phase-a-post-curation-review,216485891,sentence-read,NO,PASS,FAIL,PASS,PASS,FAIL,PASS,FAIL,false
sparkle,12776651,He noticed the sparkle in her eyes.,pass,,"Sparkle in someone's eyes is a common, concrete visual expression that clearly teaches sparkle.",phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
scale,11928545,"History is being repeated, but on a far vaster scale.",pass,,History repeating on a larger scale gives scale a clear comparative size meaning.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
breakthrough,10164869,Tom was responsible for more than one significant scientific breakthrough.,pass,,A scientific breakthrough linked to a person's responsibility gives breakthrough a familiar achievement meaning.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
idiot,11099292,Everyone's entitled to be an idiot.,pass,,"Everyone being entitled to be an idiot is a simple, direct use of idiot as an insult.",phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
vulnerable,12765982,Did the mission reach the most vulnerable?,reject,context-dependent; weak-teaching-value,"The mission's most vulnerable is incomplete without knowing who or what is vulnerable, so the target is not standalone.",phase-a-post-curation-review,216485891,sentence-read,NO,FAIL,PASS,PASS,FAIL,PASS,PASS,FAIL,false
polish,9971378,"That's the Indonesian flag, not the Polish flag.",reject,rare-sense; proper-noun-heavy; weak-teaching-value,"Polish refers to nationality in a flag correction rather than the common target sense, and the proper-name contrast adds little teaching value.",phase-a-post-curation-review,216485891,sentence-read,NO,FAIL,FAIL,PASS,PASS,PASS,PASS,FAIL,false
brood,11091792,Tom brought his whole brood with him.,pass,,A whole brood accompanying someone gives brood a clear family-group meaning.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
prosperous,5251250,The inherent difficulty of quantifying prosperity complicates the question of which countries are most prosperous.,reject,context-too-hard,Quantifying prosperity and comparing countries create academic economic vocabulary that is harder than prosperous.,phase-a-post-curation-review,216485891,sentence-read,NO,PASS,FAIL,PASS,PASS,PASS,PASS,FAIL,false
clerk,12187318,Tom was followed around the store by a clerk because he was black.,reject,hate; public-controversy,Following a Black customer because of race is an identity-based discriminatory context that is inappropriate for default learning of clerk.,phase-a-post-curation-review,216485891,sentence-read,NO,PASS,PASS,PASS,PASS,FAIL,PASS,FAIL,false
merit,11476006,This rare merit even the most fastidious critic must allow.,reject,archaic; context-too-hard,"Rare merit, fastidious critic, and the inverted sentence structure create literary load that overwhelms merit.",phase-a-post-curation-review,216485891,sentence-read,NO,PASS,FAIL,PASS,PASS,PASS,FAIL,FAIL,false
scrape,9365594,I can barely scrape by on what I'm making now.,pass,,Scraping by on current income is a familiar financial situation that clearly illustrates scrape.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
contrast,12001366,Compare and contrast Cantonese with Mandarin.,pass,,Comparing two languages gives contrast a direct comparison meaning in a concise sentence.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
romance,10169884,French is a Romance language and English is a Germanic language.,reject,context-too-hard; rare-sense,Romance and Germanic language classifications are specialist linguistic senses that make romance less accessible as a default example.,phase-a-post-curation-review,216485891,sentence-read,NO,FAIL,FAIL,PASS,PASS,PASS,PASS,FAIL,false
defy,11580293,He promises to enchant every one who dares defy his power.,reject,archaic; fantastical-context,Enchanting and defying a ruler's power create an archaic fantasy scene that is not a modern default context for defy.,phase-a-post-curation-review,216485891,sentence-read,NO,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,false
essential,12768331,Taking time to care for yourself is essential for your health.,pass,,Self-care being essential for health is a common modern wellness context that clearly shows essential.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
warrant,10143061,Tom told the cop to come back when he had a warrant.,pass,,A police warrant is a familiar legal object context that directly illustrates warrant.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
afflict,11254030,These diseases afflict the poorest and most marginalized communities in the country.,reject,medical-heavy; political-heavy,Diseases afflicting marginalized communities adds medical and social-policy load that is unnecessary for afflict.,phase-a-post-curation-review,216485891,sentence-read,NO,PASS,PASS,PASS,PASS,FAIL,PASS,FAIL,false
tunnel,12381075,The tunnel was used to smuggle contraband across the border.,reject,political-heavy; violence; context-too-hard,Smuggling contraband across a border combines crime and immigration-policy background that overwhelms tunnel.,phase-a-post-curation-review,216485891,sentence-read,NO,PASS,FAIL,PASS,PASS,FAIL,PASS,FAIL,false
abstract,12777304,He sculpts abstract figures from clay.,pass,,Sculpting abstract figures from clay gives abstract a clear art-related meaning with concrete action.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
fold,10765107,Fold and unfold along each of the lines to make a crease.,pass,,Folding along lines to make a crease is a direct household instruction that clearly shows fold.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
classical,12777190,Do you enjoy listening to classical music?,pass,,Listening to classical music is a familiar cultural preference that makes classical clear.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
medium,11700153,The medium is not the message.,pass,,"The medium is not the message is a concise, recognizable statement that demonstrates medium as a channel.",phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
plague,11603073,Unmoderated hellholes remain extremely niche sites that most people avoid like the plague.,reject,other; context-too-hard,Hellholes and avoid like the plague use hostile internet slang and an intense comparison that is not a neutral context for plague.,phase-a-post-curation-review,216485891,sentence-read,NO,PASS,FAIL,PASS,PASS,PASS,PASS,FAIL,false
mansion,9004046,Tom grew up in a terraced house just down the road from a ginormous mansion.,pass,,A terraced house contrasted with a mansion gives mansion a clear ordinary property meaning.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
trademark,11466947,Trademark protection extends only to national borders.,pass,,Trademark protection ending at national borders gives trademark a clear legal-business meaning.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
phenomenon,9444725,This is a phenomenon that has repeated itself many times throughout history.,pass,,A repeated historical event is a complete and natural example of phenomenon.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
coarse,11355272,"When the coarse sieve laughs at the fine sieve, the sheepskin rug smiles mischievously.",reject,unnatural-English; weak-teaching-value,The laughing sieve and smiling sheepskin rug are an unnatural fable-like image that does not teach coarse clearly.,phase-a-post-curation-review,216485891,sentence-read,NO,FAIL,PASS,PASS,PASS,PASS,FAIL,FAIL,false
combine,11838477,Coffee roasters combine beans from different areas to make coffees with different tastes and qualities.,pass,,Coffee roasters combining beans gives combine a concrete production meaning with simple vocabulary.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
plaster,9805498,Can I travel on a plane if I have a plaster cast?,pass,,A plaster cast and air travel provide a clear everyday medical-travel context for plaster.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
indefinite,9416088,Tom's band is on an indefinite hiatus.,pass,,A band's indefinite hiatus is a common entertainment context that directly illustrates indefinite.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
thrive,12768044,Tom's exploration of sustainable farming techniques has helped his garden thrive.,pass,,Sustainable farming helping a garden thrive gives thrive a clear healthy-growth meaning.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
alternative,12139741,The search is on for a cost-effective alternative to traditional commercial feed pellets given to farmed fish.,reject,specialist-background; context-too-hard,Feed pellets for farmed fish create specialized agriculture vocabulary that makes alternative harder than necessary.,phase-a-post-curation-review,216485891,sentence-read,NO,PASS,FAIL,PASS,PASS,PASS,PASS,FAIL,false
encounter,11928579,Tom recognized me from a single encounter at a party three years ago.,pass,,"A single encounter at a party is a clear, ordinary example of meeting someone once.",phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
attract,12768016,Tom is focusing on growing plants that attract pollinators.,pass,,Plants attracting pollinators gives attract a concrete biological relationship that is easy to follow.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
memorize,12363071,Think about the basic genetics you may have learned in school and every vocabulary term you needed to memorize.,pass,,Remembering genetics and vocabulary learned at school gives memorize a direct study context.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
ridiculous,13420208,I sound ridiculous whenever I try speaking Danish.,pass,,Finding one's Danish pronunciation ridiculous is a simple self-evaluation context that clearly shows ridiculous.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
commitment,12767818,Improvement is a commitment to yourself.,pass,,Improvement as a commitment to oneself gives commitment a clear personal-goal meaning.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
eternal,12769086,The mountains stand as eternal guardians.,pass,,Mountains as eternal guardians is a vivid but understandable figurative use of eternal.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
deadline,10188432,The submission deadline has been extended.,pass,,An extended submission deadline is a direct administrative example that clearly shows deadline.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
acquire,13036756,You can't acquire a language without consuming it.,pass,,Acquiring a language through exposure gives acquire a clear learning meaning in a concise statement.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
border,12381075,The tunnel was used to smuggle contraband across the border.,reject,political-heavy; context-too-hard,Smuggling contraband across a border adds criminal and border-policy background unrelated to teaching border.,phase-a-post-curation-review,216485891,sentence-read,NO,PASS,FAIL,PASS,PASS,FAIL,PASS,FAIL,false
hatch,12141618,Once the young hatch they are raised in predator-proof pens until they are larger and more predator resistant.,pass,,Young animals hatching and entering protected pens gives hatch a clear biological process meaning.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
stroll,12775893,"Would you care for a stroll in the gardens, my lady?",reject,archaic; weak-teaching-value,My lady and a stroll in gardens give stroll an old-fashioned literary setting rather than a normal modern default context.,phase-a-post-curation-review,216485891,sentence-read,NO,FAIL,PASS,PASS,PASS,PASS,FAIL,FAIL,false
costume,12122200,Tom is the only one who didn't wear a Halloween costume.,pass,,A Halloween costume is a familiar seasonal object context that clearly demonstrates costume.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
drag,11844546,Drag queen story hour is designed to be appropriate for children.,reject,public-controversy; sexual,Drag queen story hour is a current identity and culture-war context that adds controversy unrelated to teaching drag.,phase-a-post-curation-review,216485891,sentence-read,NO,PASS,PASS,PASS,PASS,FAIL,PASS,FAIL,false
slippery,11663738,Patricia's car skidded on a slippery spot on the road and spun completely around twice.,pass,,A car skidding on a slippery road is a clear physical situation that directly shows slippery.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
option,12772550,Was this really the only option?,pass,,"Asking whether something was the only option is a concise, natural use of option.",phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
cape,9101056,Tom is the only person wearing a cape.,pass,,One person wearing a cape gives cape a concrete clothing meaning without background.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
condemn,11154913,"You condemn your enemies for a number of horrible things, but you celebrate those things in your allies!",pass,,The hypocrisy comparison gives condemn a clear judgment meaning in a complete sentence.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
corporate,12480067,You're not likely to hear about this from the corporate media.,reject,public-controversy; political-heavy,Corporate media is a partisan media framing that adds current political controversy to the target corporate.,phase-a-post-curation-review,216485891,sentence-read,NO,PASS,PASS,PASS,PASS,FAIL,PASS,FAIL,false
homogeneous,10654591,"It's a heterogeneous group, not a homogeneous one.",pass,,"Heterogeneous and homogeneous are explicitly contrasted, making homogeneous clear as alike in composition.",phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
array,11221845,Each arm of the eyeglass frame has an array of four tiny directional microphones.,reject,specialist-background; context-too-hard,Directional microphones built into eyeglass frames create technical hardware detail that overwhelms array.,phase-a-post-curation-review,216485891,sentence-read,NO,PASS,FAIL,PASS,PASS,PASS,PASS,FAIL,false
constant,11669612,The constant lies make me wonder if your cause is really so just.,pass,,Constant lies make constant clear as repeated or continuing over time.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
alternate,11923954,I was born with the ability to detect nearby alternate realities.,reject,fantastical-context; weak-teaching-value,Alternate realities are a fantasy premise that makes alternate unclear as a useful ordinary contrast.,phase-a-post-curation-review,216485891,sentence-read,NO,FAIL,PASS,PASS,PASS,PASS,FAIL,FAIL,false
responsible,8613662,The people responsible for the opioid epidemic will never face any consequences.,reject,medical-heavy; public-controversy,The opioid epidemic and lack of consequences create a charged medical-policy context unrelated to responsible.,phase-a-post-curation-review,216485891,sentence-read,NO,PASS,PASS,PASS,PASS,FAIL,PASS,FAIL,false
congress,9588509,Hannah and Malka met at an Esperanto congress.,reject,specialist-background; context-too-hard,An Esperanto congress adds a niche language-community background and proper-name-like load to congress.,phase-a-post-curation-review,216485891,sentence-read,NO,PASS,FAIL,PASS,PASS,PASS,PASS,FAIL,false
protest,12765576,Did the protest lead to decolonization talks?,reject,political-heavy; context-too-hard,Decolonization talks place protest in a specialized political-history context that is unnecessary for the target.,phase-a-post-curation-review,216485891,sentence-read,NO,PASS,FAIL,PASS,PASS,FAIL,PASS,FAIL,false
demand,12087155,Some products may not have the scalability or the demand here in this country.,reject,context-too-hard,Scalability and market-demand language create business jargon that makes demand harder than a default context should.,phase-a-post-curation-review,216485891,sentence-read,NO,PASS,FAIL,PASS,PASS,PASS,PASS,FAIL,false
upgrade,11217979,"Now, a recent safety upgrade has accidentally turned the bridge into a giant ambient music generator.",reject,unnatural-English; weak-teaching-value,A bridge becoming an ambient music generator is an implausible software joke that gives upgrade weak default teaching value.,phase-a-post-curation-review,216485891,sentence-read,NO,FAIL,PASS,PASS,PASS,PASS,FAIL,FAIL,false
update,10545369,She's going to try rolling back an update.,pass,,Rolling back an update is a common modern software action that clearly shows update.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
surgery,9805365,Is it better to have a bath or shower after surgery?,pass,,Asking about bathing after surgery is a direct and understandable health context for surgery.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
intersection,11166818,The light was still yellow when the car entered the intersection.,pass,,A yellow light and a car entering a junction give intersection a concrete traffic meaning.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
screw,8728675,"As for you, I think you just want to screw me up.",reject,sexual; weak-teaching-value,"Screw me up is an ambiguous informal phrase with a sexual reading, so it is not a clear default example.",phase-a-post-curation-review,216485891,sentence-read,NO,FAIL,PASS,PASS,PASS,FAIL,PASS,FAIL,false
recession,12766071,Will the economy recover from the global recession?,pass,,"A global recession and economic recovery give recession a familiar, direct meaning.",phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
haul,10164855,The thieves made off with quite a haul.,pass,,Thieves making off with a haul gives haul a clear quantity-of-stolen-goods meaning.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
status,10291584,I want to check the status of my order.,pass,,Checking an order's status is an ordinary customer-service context that directly illustrates status.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
encourage,12767998,How can we encourage more people to protect the environment?,pass,,Encouraging people to protect the environment gives encourage a clear social-action use.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
definition,9710286,"Bitcoin is fiat by definition, since it cannot be exchanged for a fixed amount of any physical resource.",reject,context-too-hard; public-controversy,"Fiat currency, Bitcoin, and fixed physical resources make definition depend on specialist financial debate.",phase-a-post-curation-review,216485891,sentence-read,NO,PASS,FAIL,PASS,PASS,FAIL,PASS,FAIL,false
convert,12381513,"This is the world's first commercially available pedal generator, allowing to convert your human power into usable electricity.",pass,,A pedal generator converting human effort into electricity gives convert a concrete transformation meaning.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
exceptional,10099736,I think this watermelon is exceptional.,pass,,"Calling a watermelon exceptional is a simple, natural evaluation of quality.",phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
web,11574005,Why is the cosmic web the way it is?,reject,specialist-background; context-too-hard,The cosmic web is an astronomy concept that requires specialist background and does not teach web as an ordinary object.,phase-a-post-curation-review,216485891,sentence-read,NO,PASS,FAIL,PASS,PASS,PASS,PASS,FAIL,false
solution,12272821,An aqueous solution is one where water is the solvent.,reject,specialist-background; context-too-hard,"Aqueous, solvent, and solution form a chemistry definition whose surrounding vocabulary is harder than the target.",phase-a-post-curation-review,216485891,sentence-read,NO,PASS,FAIL,PASS,PASS,PASS,PASS,FAIL,false
triumph,12777581,Does good always triumph over evil?,pass,,Good triumphing over evil is a widely understandable moral contrast that clearly shows triumph.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
objection,11857324,I have no objection to your calling in your friend if I may call in mine.,pass,,Objecting to a friend calling in another friend is a complete social example of objection.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
legend,12029429,"Cornucopians treat natural resources as having an ever-abundant supply, like the cornucopia of Greek legend.",reject,specialist-background; context-too-hard,Cornucopians and the cornucopia of Greek legend require economic and mythological background that overwhelms legend.,phase-a-post-curation-review,216485891,sentence-read,NO,PASS,FAIL,PASS,PASS,PASS,PASS,FAIL,false
concise,12125475,"We at Focus always strive for clear, concise writing that avoids gobbledygook and jargon.",pass,,"Clear, concise writing that avoids jargon is a direct educational context for concise.",phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
bonus,8952220,"Some are just chubby, others have a bonus goiter.",reject,medical-heavy; weak-teaching-value,A bonus goiter introduces an unexplained medical abnormality that is unrelated to teaching bonus.,phase-a-post-curation-review,216485891,sentence-read,NO,FAIL,PASS,PASS,PASS,FAIL,PASS,FAIL,false
cancel,11240042,"Kiwifarms is everything reactionaries claim ""cancel culture"" is and more.",reject,public-controversy; context-too-hard,Kiwifarms and cancel culture create a niche political controversy that is not a neutral context for cancel.,phase-a-post-curation-review,216485891,sentence-read,NO,PASS,FAIL,PASS,PASS,FAIL,PASS,FAIL,false
foresee,10094907,I don't foresee ever being able to go to Boston.,pass,,"Not foreseeing a future trip to Boston is a clear, ordinary use of foresee.",phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
hesitate,12140223,"If there's ever anything you don't understand, please don't hesitate to ask me.",pass,,"Not hesitating to ask for clarification is a natural, supportive conversation context that clearly demonstrates hesitate.",phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
design,10363149,I do graphic design for some T-shirt sites.,pass,,Graphic design for T-shirt sites is a familiar job activity that clearly illustrates design.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
testify,10031121,Is Tom going to testify against John?,pass,,Testifying against someone is a common legal context that makes testify unambiguous.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
device,9825447,You're already paying to carry a tracking device around.,pass,,Carrying a tracking device gives device a concrete modern object meaning.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
financial,9949953,I am once again asking for your financial support.,pass,,Asking for financial support is a common request that directly demonstrates financial.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
cluster,11244047,The cottage was one of a small lonely cluster standing on the edge of an enormous beech wood.,pass,,A small cluster of cottages in a wood provides a clear group-and-place meaning for cluster.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
access,12465780,You can't access a class's private methods from another class.,reject,specialist-background; context-too-hard,Private methods between classes are programming-specific terms that make access unsuitable as a default context.,phase-a-post-curation-review,216485891,sentence-read,NO,PASS,FAIL,PASS,PASS,PASS,PASS,FAIL,false
inclusive,12777179,Do they foster an inclusive environment?,pass,,Fostering an inclusive environment is a common social and educational use that clearly shows inclusive.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
gear,12127706,The airline says the aircraft's right-side landing gear had malfunctioned on takeoff.,pass,,Landing gear malfunctioning during takeoff gives gear a concrete aircraft-part meaning.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
purity,10998491,Bergamot oil may be tested as to its purity by mixing it with alcohol.,reject,specialist-background; context-too-hard,Testing bergamot oil purity by mixing it with alcohol is specialist chemistry detail that overwhelms purity.,phase-a-post-curation-review,216485891,sentence-read,NO,PASS,FAIL,PASS,PASS,PASS,PASS,FAIL,false
consensus,12321418,There doesn't seem to be consensus on this among speakers.,pass,,"Lack of consensus among speakers is a concise, natural group-decision context.",phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
relieve,9390345,Gargle with saltwater to relieve the pain of a sore throat.,pass,,"Gargling saltwater to relieve a sore throat gives relieve a familiar, understandable health use.",phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
verge,11985010,"Radiated tortoises are extremely rare, and experts say they may be on the verge of extinction.",pass,,Rare tortoises approaching extinction give verge a clear near-state meaning without graphic detail.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
porch,12472073,Grackles keep coming to eat the cat food on the porch.,pass,,"Birds eating cat food on a porch provide a concrete, everyday setting for porch.",phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
yell,11451150,"If he's not there, yell back for him.",pass,,Yelling back for someone is a simple conversational use that clearly demonstrates yell.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
render,12065639,A passing motorist stopped to render aid.,pass,,A motorist rendering aid gives render a clear formal meaning of providing help.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
