word,sentenceId,sentence,decision,categories,rationale,reviewType,selectionSource,seed,semanticDecisionSource,defaultLearningAppropriateness,targetTeachingValue,contextVocabularyLoad,syntaxSimplicity,standaloneClarity,topicNeutrality,naturalModernEnglish,finalEditorDecision,severeInappropriate
heritage,12767975,Mary explored the cultural heritage of a remote island.,pass,,Exploring the cultural heritage of an island gives heritage a clear social and historical meaning.,phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
claim,10099733,You are every bit the monster you claim we've become.,reject,context-dependent; weak-teaching-value,"The accusation about becoming a monster leaves the referent and situation unresolved, so claim is not taught in a clear standalone context.",phase-a-random-review,,216485889,sentence-read,NO,FAIL,PASS,PASS,FAIL,PASS,PASS,FAIL,false
significant,10164869,Tom was responsible for more than one significant scientific breakthrough.,pass,,A significant scientific breakthrough is a familiar academic collocation that directly illustrates significant.,phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
species,12479338,How do you know humans are the only species using the Internet?,pass,,The sentence uses species in a clear comparison between humans and other possible users of the Internet.,phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
temperament,11905387,Tom's moody temperament sometimes leads him to make blunt remarks.,pass,,Moody temperament leading to blunt remarks gives temperament a direct personality meaning.,phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
define,8679645,The team needs to define the scope of the project by Monday.,pass,,"The team defining a project's scope by Monday is a complete, practical example of define.",phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
series,9867055,Her new book takes the form of a series of vignettes.,reject,context-too-hard; weak-teaching-value,"Vignettes is a literary term harder than series, and the sentence provides little accessible reason for the target beyond a book label.",phase-a-random-review,,216485889,sentence-read,NO,FAIL,FAIL,PASS,PASS,PASS,PASS,FAIL,false
overlook,10722017,The above ground pool and deck overlook the pasture and rolling hills.,pass,,A pool and deck overlooking a pasture show overlook as a direct spatial relationship.,phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
poverty,12153697,A society that allows poverty hates children.,reject,political-heavy; weak-teaching-value,The claim that a society allowing poverty hates children is an ideological moral judgment that overloads poverty with an unnecessary argument.,phase-a-random-review,,216485889,sentence-read,NO,FAIL,PASS,PASS,PASS,FAIL,PASS,FAIL,false
reflect,11237460,The sentences I write don't necessarily reflect my actual thoughts or opinions.,pass,,The writer's sentences not reflecting personal thoughts gives reflect a clear figurative correspondence meaning.,phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
consumer,12187281,Tom is a consumer of mental health services.,pass,,Being a consumer of mental health services is a neutral service-user context that directly demonstrates consumer.,phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
corrupt,8610426,"To keep their power structures intact, corrupt politicians often rail against leftists.",reject,political-heavy; public-controversy,Corrupt politicians and leftists turn corrupt into a partisan political accusation that is not needed for its ordinary meaning.,phase-a-random-review,,216485889,sentence-read,NO,PASS,PASS,PASS,PASS,FAIL,PASS,FAIL,false
flat,9039969,"If the Earth was flat, cats would've knocked everything off by now.",pass,,"The flat-Earth cat joke still gives flat a clear geometric meaning in a short, memorable sentence.",phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
critical,12765203,The space crew faced a critical emergency on their mission.,pass,,A critical emergency on a space mission shows critical as urgent and important in an accessible context.,phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
planet,12759659,Earth is the only planet known to support life so far.,pass,,Earth as the only known life-supporting planet gives planet a clear scientific meaning with familiar words.,phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
conference,4765243,My husband is at a conference. Would you like to get some coffee?,pass,,Someone being at a conference and inviting coffee is a simple social setting that makes conference clear.,phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
clip,12399152,A paper clip can be used to hold two pieces of paper together.,pass,,"A paper clip holding paper is a concrete, everyday example of clip as an object.",phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
gigantic,11473214,But his dreams were as gigantic as his surroundings were small.,reject,context-dependent; unnatural-English,"Beginning with But and comparing dreams with tiny surroundings leaves missing context, while the literary simile weakens gigantic's teaching clarity.",phase-a-random-review,,216485889,sentence-read,NO,PASS,PASS,PASS,FAIL,PASS,FAIL,FAIL,false
destiny,12778585,"Do we shape our own destiny, or does fate guide us?",pass,,"The question contrasts shaping destiny with fate, giving destiny a clear common abstract meaning.",phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
debate,9956757,The comment section is a microcosm of the larger cultural debate taking place.,reject,context-too-hard; political-heavy,Microcosm and a larger cultural debate create abstract media-analysis load that is harder than debate.,phase-a-random-review,,216485889,sentence-read,NO,PASS,FAIL,PASS,PASS,FAIL,PASS,FAIL,false
racket,11840491,Keep making a racket and I'll bite you.,pass,,Making a racket is an ordinary noisy-behavior use with a clear playful warning.,phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
alarm,10114103,I was late for work because my alarm didn't go off.,pass,,A missed work alarm is a familiar everyday situation that directly illustrates alarm.,phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
refresh,10093063,I get an error when I refresh the page.,pass,,Refreshing a page after an error is a clear modern interface use of refresh.,phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
appliance,9805854,What kitchen appliance do you use every day?,pass,,Asking about a kitchen appliance is an ordinary household context that makes appliance concrete.,phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
ideology,11690636,Schools have no right to impose cis ideology on children.,reject,political-heavy; public-controversy; context-too-hard,"Cis ideology is specialist and politically charged identity language, so it is not a neutral default context for ideology.",phase-a-random-review,,216485889,sentence-read,NO,PASS,FAIL,PASS,PASS,FAIL,PASS,FAIL,false
majority,12364652,The wonder is that the majority of the emigrants continued their westward journey.,pass,,The majority of emigrants continuing a journey provides a clear numerical contrast in a complete historical sentence.,phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
intact,8610426,"To keep their power structures intact, corrupt politicians often rail against leftists.",reject,political-heavy; public-controversy,"Power structures, corrupt politicians, and leftists make intact part of a partisan political claim rather than a neutral example.",phase-a-random-review,,216485889,sentence-read,NO,PASS,PASS,PASS,PASS,FAIL,PASS,FAIL,false
volume,9995314,The sheer volume of disinformation is difficult to rebut.,reject,political-heavy; public-controversy,Disinformation and rebuttal place volume inside a current information-war debate with unnecessary political load.,phase-a-random-review,,216485889,sentence-read,NO,PASS,PASS,PASS,PASS,FAIL,PASS,FAIL,false
agony,12766618,There is no greater agony than bearing an untold story.,pass,,An untold story gives agony a clear emotional context and the sentence is a complete modern aphorism.,phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
vein,6366589,Mary suffered deep vein thrombosis while she was pregnant.,reject,medical-heavy; context-too-hard,"Deep vein thrombosis is a serious specialist medical condition, and the pregnancy context overwhelms the basic target vein.",phase-a-random-review,,216485889,sentence-read,NO,PASS,FAIL,PASS,PASS,FAIL,PASS,FAIL,false
arrange,8242692,"Once two people involved in a dispute have explained themselves, they arrange a compromise.",pass,,People explaining a dispute and arranging a compromise gives arrange a clear cooperative action.,phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
pasture,10722017,The above ground pool and deck overlook the pasture and rolling hills.,pass,,"A pool and deck overlooking pasture provide a clear, concrete use of pasture.",phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
emergency,12765224,Mary played a key role in the volunteer emergency relief team.,pass,,A volunteer emergency relief team shows emergency in a familiar public-help setting without specialist detail.,phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
shove,8773824,"If push comes to shove, I can move in with my parents.",pass,,"The common idiom if push comes to shove provides a natural, readable use of shove in a self-contained family situation.",phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
distinct,10194922,Anaerobic respiration is distinct from fermentation.,reject,specialist-background; context-too-hard,"Anaerobic respiration and fermentation are paired technical biology terms, making distinct depend on specialist knowledge.",phase-a-random-review,,216485889,sentence-read,NO,PASS,FAIL,PASS,PASS,PASS,PASS,FAIL,false
exhibit,12095498,Tabby cats exhibit the typical fur pattern of their wild ancestor.,pass,,"Cats exhibiting a fur pattern gives exhibit a direct, observable meaning with ordinary vocabulary.",phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
friction,12325267,I'm worried it could create friction between us.,pass,,Friction between people is a common metaphor for interpersonal tension and clearly teaches the target.,phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
depression,11080977,I've been experiencing depression and dissociation.,reject,medical-heavy; context-too-hard,"Dissociation is specialist mental-health vocabulary, and the clinical pairing makes depression carry unnecessary medical load.",phase-a-random-review,,216485889,sentence-read,NO,PASS,FAIL,PASS,PASS,FAIL,PASS,FAIL,false
moral,9805572,Have you personally encountered any moral dilemmas to date? Of what nature?,pass,,"The question about moral dilemmas is a direct, understandable example of moral judgment.",phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
command,12775863,His Majesty's command was swift and resolute.,reject,archaic; context-too-hard,"His Majesty, swift command, and resolute wording create an archaic historical scene that is not a modern default example for command.",phase-a-random-review,,216485889,sentence-read,NO,PASS,FAIL,PASS,PASS,PASS,FAIL,FAIL,false
dramatic,13320174,Mary took the mickey out of Tom's dramatic reaction to a tiny spider.,reject,context-too-hard; unnatural-English,Took the mickey is a region-specific idiom and makes dramatic depend on cultural knowledge unrelated to the target.,phase-a-random-review,,216485889,sentence-read,NO,PASS,FAIL,PASS,PASS,PASS,FAIL,FAIL,false
remain,11520798,Tom announced that he had decided to remain in the group.,pass,,Announcing a decision to remain in a group is a straightforward and natural use of remain.,phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
cardinal,12426002,There's a male cardinal at the bird feeder.,pass,,A male cardinal at a bird feeder gives cardinal a concrete animal meaning in a simple sentence.,phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
culture,11753259,Bangladesh is a diverse country with a rich culture and history.,pass,,The cultural heritage sentence directly illustrates culture in a familiar national context without requiring background about the country.,phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
brief,12764964,The game offered a brief escape from reality.,pass,,A brief escape from reality is a common expression that clearly shows brief as short in duration.,phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
magnitude,12773695,Few understood the magnitude of the decision.,pass,,The magnitude of a decision is an ordinary abstract collocation that makes magnitude clear as importance or scale.,phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
bound,12777792,Is the universe bound by rules we cannot see?,pass,,Asking whether the universe is bound by unseen rules gives bound a clear figurative limit meaning.,phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
apply,12343007,"Real skeptics also apply skepticism to fringe voices, not just mainstream ones.",pass,,"Applying skepticism to different voices shows apply as using a method, with the contrast kept understandable.",phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
reveal,12775906,The palace doors opened to reveal the majestic throne room.,pass,,"Opening palace doors to reveal a throne room is a complete, vivid narrative context that clearly demonstrates reveal.",phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
execution,10172918,"The idea was excellent, but the execution was terrible.",pass,,The contrast between an excellent idea and poor execution directly shows execution as how something is carried out.,phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
positive,9805683,What are some positive things your last boss would say about you?,pass,,Asking what a boss would say about positive qualities makes positive a clear workplace adjective.,phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
spectacle,12775859,The ball was a spectacle of elegance and grandeur.,reject,context-too-hard; unnatural-English,Elegance and grandeur make the spectacle sentence ornate and less natural for a default learner; grandeur is also harder than the target.,phase-a-random-review,,216485889,sentence-read,NO,PASS,FAIL,PASS,PASS,PASS,FAIL,FAIL,false
worthy,11167246,A bad-faith lie is not an opinion worthy of consideration.,reject,political-heavy; context-too-hard,Bad-faith lie and consideration frame worthy in adversarial argument language that adds unnecessary abstract and political load.,phase-a-random-review,,216485889,sentence-read,NO,PASS,FAIL,PASS,PASS,FAIL,PASS,FAIL,false
chip,12432378,I found an old potato chip lodged in between the couch cushions.,pass,,A potato chip stuck between couch cushions gives chip a concrete everyday object context.,phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
comply,12470588,You have a duty not to comply with an unlawful order.,pass,,"An unlawful order is a clear ethical setting for comply, and the sentence directly contrasts following with refusing.",phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
advocate,12187297,Tom is a patient advocate for people with mental health conditions.,pass,,A patient advocate for mental-health services gives advocate a concrete social role while keeping the sentence understandable.,phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
pearl,12401536,Moderation is the silken string running through the pearl chain of all virtues.,reject,archaic; weak-teaching-value,"The silken-string and pearl-chain metaphor is ornate and aphoristic, so pearl is incidental to a difficult literary image.",phase-a-random-review,,216485889,sentence-read,NO,FAIL,PASS,PASS,PASS,PASS,FAIL,FAIL,false
insane,11994713,"""Effective altruism"" is an insane philosophy dreamt up by techbros on amphetamines.",reject,medical-heavy; public-controversy,Amphetamines and the insult techbros make insane part of a drug-related culture-war attack rather than a neutral teaching context.,phase-a-random-review,,216485889,sentence-read,NO,PASS,PASS,PASS,PASS,FAIL,PASS,FAIL,false
muddy,2804844,We squelched across the muddy field.,pass,,Squelching across a muddy field is a direct sensory scene that clearly illustrates muddy.,phase-a-random-review,r4-targeted,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
sophisticated,11233283,"These early hominids hunted for food, cooked meat over fires and crafted a sophisticated array of flint tools.",reject,specialist-background; context-too-hard,"Hominids and flint tools are specialist anthropology terms, so sophisticated is surrounded by vocabulary harder than the target.",phase-a-random-review,r4-targeted,216485889,sentence-read,NO,PASS,FAIL,PASS,PASS,PASS,PASS,FAIL,false
awkward,11777864,I'm socially awkward in three languages.,pass,,Saying someone is socially awkward in three languages is a concise modern and self-contained use of awkward.,phase-a-random-review,r4-targeted,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
contest,10832772,Tom came in second place at the hot dog eating contest.,pass,,Second place in a hot-dog eating contest gives contest a familiar competition context.,phase-a-random-review,r4-targeted,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
garment,11522323,The economy of Bangladesh is mainly based on agriculture and the garment industry.,pass,,"The garment industry is a common economic collocation, and the country reference does not prevent understanding garment.",phase-a-random-review,r4-targeted,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
jeopardize,12399987,This could jeopardize the whole operation.,pass,,Jeopardizing an operation is a direct modern use of putting a plan at risk.,phase-a-random-review,r4-targeted,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
bulk,10750477,It's cheaper if you buy in bulk.,pass,,Buying in bulk is a common shopping situation that makes bulk immediately clear.,phase-a-random-review,r4-targeted,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
masterpiece,12768631,"I watch the sky shift colors at dusk, a fleeting masterpiece.",pass,,The changing evening sky being called a masterpiece gives the target a vivid but understandable figurative use.,phase-a-random-review,r4-targeted,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
concern,11350396,Other people's medical issues are none of your concern.,pass,,Medical issues being someone else's concern is a complete everyday boundary-setting sentence that shows concern.,phase-a-random-review,r4-targeted,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
trigger,10478487,Hallucinogen use can trigger certain psychiatric conditions in people with a predisposition to them.,reject,medical-heavy; context-too-hard,"Hallucinogens, psychiatric conditions, and predisposition are specialist medical terms that make trigger unsuitable as a default context.",phase-a-random-review,r4-targeted,216485889,sentence-read,NO,PASS,FAIL,PASS,PASS,FAIL,PASS,FAIL,false
chord,12267769,Jazz is characterized by improvisation on chord progressions.,pass,,Jazz chord progressions give chord a direct music meaning; the sentence is concise and the terms form a coherent teaching context.,phase-a-random-review,r4-targeted,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
analysis,9962947,Should we remove the outliers from our analysis?,pass,,Removing outliers from analysis gives analysis a clear research meaning and remains readable for a general learner.,phase-a-random-review,r4-targeted,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
reject,11621317,Tom rejected Mary before she could reject him.,pass,,The two contrasting uses of rejected make the interpersonal sense of reject explicit without needing prior context.,phase-a-random-review,r4-targeted,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
disgust,11789689,Tom's face couldn't help but telegraph his disgust.,pass,,A face telegraphing disgust is a natural figurative expression with a clear emotional target.,phase-a-random-review,r4-targeted,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
circulation,9805165,How long should I wear compression stockings to improve my circulation?,reject,medical-heavy; context-too-hard,Compression stockings make circulation depend on a specific medical treatment rather than an ordinary default context.,phase-a-random-review,r4-targeted,216485889,sentence-read,NO,PASS,FAIL,PASS,PASS,FAIL,PASS,FAIL,false
reckless,12154388,I was reckless and overly trusting.,pass,,"Admitting to being reckless and overly trusting is a short, natural description of behavior.",phase-a-random-review,r4-targeted,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
virgin,12028675,"One group had their diet supplemented with extra virgin olive oil, while another were given nuts instead.",pass,,Extra virgin olive oil is a common food label that clearly demonstrates virgin as unprocessed or pure.,phase-a-random-review,r4-targeted,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
weary,12769169,The sea offers solace to the weary traveler.,reject,archaic; unnatural-English,"The weary traveler and solace phrasing is literary and sentimental, so it does not feel like a modern default teaching sentence.",phase-a-random-review,r4-targeted,216485889,sentence-read,NO,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,false
construct,12777602,Is time a construct of the mind?,pass,,Calling time a construct of the mind gives construct a clear abstract meaning in a self-contained question.,phase-a-random-review,r4-targeted,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
harmony,11692558,We've forgotten how to live in harmony with nature.,pass,,"Living in harmony with nature is a common, neutral expression that directly illustrates harmony.",phase-a-random-review,r4-targeted,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
attribute,2570990,Never attribute to malice that which is adequately explained by stupidity.,pass,,The familiar malice proverb gives attribute a clear meaning of assigning a cause or quality.,phase-a-random-review,r4-targeted,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
legend,11695490,Tom is the reincarnation of the hero of legend.,reject,religious-heavy; fantastical-context,Reincarnation and a legendary hero make legend depend on fantastical religious background rather than a neutral example.,phase-a-random-review,r4-targeted,216485889,sentence-read,NO,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,false
assumption,11266249,Your assumption that I love food is correct.,pass,,The assumption about loving food is a simple conversational example that directly explains assumption.,phase-a-random-review,r4-targeted,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
conservation,12311342,A big conservation issue is the co-existence of people and animals.,pass,,A conservation issue involving people and animals gives conservation a clear public-environmental meaning.,phase-a-random-review,r4-targeted,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
crime,12765349,Tom worked to reduce crime in the city through community outreach.,pass,,Community outreach to reduce crime is a clear civic context that directly demonstrates crime.,phase-a-random-review,r4-targeted,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
liner,11152936,"The ill-fated cruise liner has now left Australian waters, but many questions remain.",reject,death-heavy; proper-noun-heavy; context-dependent,An ill-fated liner leaving Australian waters hints at an unresolved disaster and adds a proper-name news context that is unnecessary for liner.,phase-a-random-review,r4-targeted,216485889,sentence-read,NO,PASS,FAIL,PASS,FAIL,FAIL,PASS,FAIL,false
foul,9003983,"Tom didn't want to fall foul of his teacher's wrath, so he stayed quiet in lessons.",reject,archaic; context-too-hard,"Fall foul of and teacher's wrath are idiomatic and old-fashioned, so the sentence does not model foul in a clear modern way.",phase-a-random-review,r4-targeted,216485889,sentence-read,NO,PASS,FAIL,PASS,PASS,PASS,FAIL,FAIL,false
mortgage,12033010,Tom works at a mortgage brokerage.,reject,context-too-hard; specialist-background,A mortgage brokerage is specialist financial vocabulary and does not explain the target mortgage in an accessible everyday sentence.,phase-a-random-review,r4-targeted,216485889,sentence-read,NO,PASS,FAIL,PASS,PASS,PASS,PASS,FAIL,false
ozone,9142908,"Ozone is good up high, bad nearby.",reject,weak-teaching-value; context-dependent,"The slogan-like good up high, bad nearby gives no standalone explanation of ozone's meaning or relationship to the target.",phase-a-random-review,r4-targeted,216485889,sentence-read,NO,FAIL,PASS,PASS,FAIL,PASS,PASS,FAIL,false
concept,12759709,The concept of space tourism is becoming more realistic each year.,pass,,"Space tourism becoming realistic gives concept a clear, contemporary abstract-use context.",phase-a-random-review,r4-targeted,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
energetic,11698519,The troupe is enthralling audiences around the country with their energetic performances.,pass,,Energetic performances are a familiar arts context that directly shows energetic.,phase-a-random-review,r4-targeted,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
dolphin,10157656,I'd like to be reincarnated as a dolphin.,pass,,The playful wish to be reincarnated as a dolphin is complete and gives dolphin a concrete animal reference.,phase-a-random-review,r4-targeted,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
easter,12134669,Christmas and Easter are national holidays in America.,pass,,Christmas and Easter as national holidays gives Easter a clear cultural noun use; the sentence is simple and standalone.,phase-a-random-review,r4-targeted,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
dread,10723394,I dread more the peril to my good name.,reject,archaic; unnatural-English,The inversion I dread more the peril and the literary word peril make this an unnatural modern example for dread.,phase-a-random-review,r4-targeted,216485889,sentence-read,NO,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,false
furthermore,10951294,"Furthermore, the frog's external appearance and skeletal shape add to its distinctiveness.",reject,context-dependent; context-too-hard,"Furthermore signals missing preceding text, and external appearance, skeletal shape, and distinctiveness make the frog sentence academic and harder than the target.",phase-a-random-review,r4-targeted,216485889,sentence-read,NO,PASS,FAIL,PASS,FAIL,PASS,PASS,FAIL,false
complexion,12768334,A relaxed mind shows in your complexion.,pass,,"A relaxed mind showing in one's complexion is a concise, understandable appearance context.",phase-a-random-review,r4-targeted,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
arrogant,12095760,"In an archival interview, he was careful not to overrate his success or appear arrogant.",pass,,An archival interview and overrating success provide a coherent situation in which arrogant describes self-presentation.,phase-a-random-review,r4-targeted,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
disorder,12128440,"My thoughts on life vary with my mood, and I have a mood disorder.",pass,,"Mood disorder is a common, direct use of disorder, and the sentence explains the speaker's thoughts without technical detail.",phase-a-random-review,r4-targeted,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
flexible,12777885,Is the future predetermined or flexible?,pass,,The future being predetermined or flexible creates a clear contrast that demonstrates flexible.,phase-a-random-review,r4-targeted,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
item,12065617,The item will go to the highest bidder.,pass,,The highest bidder determining who gets an item is a familiar auction context that makes item clear.,phase-a-random-review,r4-targeted,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
fusion,10367067,What's the difference between fission and fusion?,pass,,"Contrasting fission with fusion is a standard, concise science comparison that directly teaches fusion.",phase-a-random-review,r4-targeted,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
smash,8289410,Smash the boiled pumpkin pieces then add some salt and spices.,pass,,Smashing cooked pumpkin pieces is a simple kitchen action that gives smash a clear verb use.,phase-a-random-review,r4-targeted,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
tribute,8530291,Beyle plays in an Evanescence tribute band.,reject,proper-noun-heavy; context-too-hard,Evanescence and a tribute band add an unnecessary proper name and music-specific background to tribute.,phase-a-random-review,r4-targeted,216485889,sentence-read,NO,PASS,FAIL,PASS,PASS,PASS,PASS,FAIL,false
segment,11464741,Farmers raising alpacas for their fleece are a growing segment of the U.S. agriculture industry.,reject,specialist-background; proper-noun-heavy; context-too-hard,"Alpaca fleece, U.S. agriculture, and industry create specialist and acronym load that overwhelms segment.",phase-a-random-review,r4-targeted,216485889,sentence-read,NO,PASS,FAIL,PASS,PASS,PASS,PASS,FAIL,false
criminal,12327969,A criminal is someone who commits a crime.,pass,,The short definition links criminal to committing a crime and makes the target immediately understandable.,phase-a-random-review,r4-targeted,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
retention,12777177,She works on employee retention strategies.,pass,,Employee-retention strategies are a common workplace context that directly shows retention.,phase-a-random-review,r4-targeted,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
concentration,12768464,She bit her lip in concentration.,pass,,Biting one's lip in concentration is a familiar physical cue that clearly demonstrates concentration.,phase-a-random-review,r4-targeted,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
predict,12034353,Futurists try to predict how changes in the world will impact society.,pass,,Futurists predicting social effects gives predict a clear forward-looking meaning in a complete sentence.,phase-a-random-review,r4-targeted,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
background,9489982,"The man in the background is my grandfather, and my father is in the foreground.",pass,,"Background and foreground are explicitly contrasted around a family photograph-like scene, making background clear.",phase-a-random-review,r4-targeted,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
advantage,12486973,The ability to regulate your blood temperature confers an evolutionary advantage.,pass,,An evolutionary advantage from regulating body temperature is a coherent science example with the target meaning obvious.,phase-a-random-review,r4-targeted,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
